-0.49619,-1.5271
-0.50465,-1.1889
-0.65902,-0.81383
-1.299,-0.94381
-1.1569,-0.44408
-0.39492,-0.39492
-0.80285,-1.6868e-18
-1.6057,-1.0175e-16
-1.1569,0.44408
-0.39492,0.39492
-0.65902,0.81383
-1.299,0.94381
-0.50465,1.1889
-0.49619,1.5271
-2.3927e-08,1.6057
-1.1963e-08,0.80285
0.49619,-1.5271
0.50465,-1.1889
1.1963e-08,-0.80285
0.65902,-0.81383
1.299,-0.94381
1.1569,-0.44408
0.39492,-0.39492
0,0
0.80285,-1.6868e-18
1.6057,-1.0175e-16
1.1569,0.44408
0.39492,0.39492
0.65902,0.81383
1.299,0.94381
0.50465,1.1889
0.49619,1.5271
